Source,Target,Start,start,end
Photographs,267049,1994,1994,1994
Costume Institute,94733,1961,1961,1961
European Sculpture and Decorative Arts,196081,1927,1927,1927
Costume Institute,174601,2009,2009,2009
Drawings and Prints,676408,1963,1963,1963
Modern and Contemporary Art,485613,1990,1990,1990
Asian Art,40786,1909,1909,1909
Photographs,685567,1970,1970,1970
Greek and Roman Art,689327,2011,2011,2011
Egyptian Art,573274,1936,1936,1936
Drawings and Prints,775425,1963,1963,1963
Ancient Near Eastern Art,326916,1984,1984,1984
Asian Art,68915,1930,1930,1930
"Arts of Africa, Oceania, and the Americas",310438,1977,1977,1977
Drawings and Prints,357846,1978,1978,1978
Costume Institute,89239,1945,1945,1945
Drawings and Prints,422562,1963,1963,1963
Drawings and Prints,812569,1963,1963,1963
Drawings and Prints,344376,1972,1972,1972
European Sculpture and Decorative Arts,190431,1907,1907,1907
Drawings and Prints,370276,1925,1925,1925
Drawings and Prints,654020,1963,1963,1963
"Arts of Africa, Oceania, and the Americas",314751,1983,1983,1983
European Sculpture and Decorative Arts,218866,1910,1910,1910
European Sculpture and Decorative Arts,207660,1986,1986,1986
Asian Art,38916,1885,1885,1885
Modern and Contemporary Art,828093,2020,2020,2020
Egyptian Art,554722,1930,1930,1930
European Sculpture and Decorative Arts,212568,1888,1888,1888
"Arts of Africa, Oceania, and the Americas",317952,1999,1999,1999
Costume Institute,174240,2009,2009,2009
Drawings and Prints,780333,1963,1963,1963
Drawings and Prints,719593,1963,1963,1963
Drawings and Prints,344639,1941,1941,1941
Medieval Art,478719,1925,1925,1925
Asian Art,68749,1930,1930,1930
The American Wing,13415,1960,1960,1960
The American Wing,20889,2016,2016,2016
Drawings and Prints,825798,1963,1963,1963
European Sculpture and Decorative Arts,229912,1985,1985,1985
Photographs,734473,2005,2005,2005
Drawings and Prints,435428,1949,1949,1949
Drawings and Prints,411770,1963,1963,1963
Ancient Near Eastern Art,325472,1962,1962,1962
Drawings and Prints,403161,1963,1963,1963
European Sculpture and Decorative Arts,230266,2002,2002,2002
Photographs,709129,2005,2005,2005
Costume Institute,92010,1978,1978,1978
Ancient Near Eastern Art,324377,1957,1957,1957
Drawings and Prints,660057,1921,1921,1921
European Sculpture and Decorative Arts,231058,1949,1949,1949
Drawings and Prints,411268,1963,1963,1963
Arms and Armor,696679,1928,1928,1928
Medieval Art,479604,1925,1925,1925
Drawings and Prints,342508,1917,1917,1917
"Arts of Africa, Oceania, and the Americas",310456,1978,1978,1978
Photographs,267223,1995,1995,1995
Drawings and Prints,364917,1960,1960,1960
Drawings and Prints,831191,1965,1965,1965
Costume Institute,170541,2009,2009,2009
Asian Art,42777,1950,1950,1950
Egyptian Art,570608,1917,1917,1917
The Libraries,760248,nan,nan,nan
European Sculpture and Decorative Arts,217493,1909,1909,1909
European Sculpture and Decorative Arts,205244,1970,1970,1970
Drawings and Prints,393439,1991,1991,1991
Photographs,267317,1996,1996,1996
Egyptian Art,568562,1922,1922,1922
Ancient Near Eastern Art,324229,1952,1952,1952
Drawings and Prints,692587,1927,1927,1927
Musical Instruments,504284,1980,1980,1980
