Source,Target
Gift of William and Toni Conte,Medieval Art
Rogers Fund,Egyptian Art
Gift of Lynn Gumpert,Costume Institute
Gift of Charles Allen Munn,Drawings and Prints
Gift of Anne H. Bass,Costume Institute
Walker Evans Archive,Photographs
"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation",Asian Art
Fletcher Fund,Greek and Roman Art
Rogers Fund,European Sculpture and Decorative Arts
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Gift of Mr. and Mrs. H. O. Havemeyer,Asian Art
Gift of The Colophon,Drawings and Prints
Harris Brisbane Dick Fund,Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Gift of the Estate of Harry John Kratzer,European Sculpture and Decorative Arts
Gift of George A. Hearn,The American Wing
Walker Evans Archive,Photographs
Gift of Kimberly Knitwear Inc.,Costume Institute
John Stewart Kennedy Fund,Asian Art
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Gift of Mrs. Elias Kempner,Greek and Roman Art
Rogers Fund,Medieval Art
Gift of H. Cecilia Bailey,Costume Institute
"Purchase, 1985, Funds From Various Donors",European Sculpture and Decorative Arts
"The Lesley and Emma Sheafer Collection, Bequest of Emma A. Sheafer",European Sculpture and Decorative Arts
Walker Evans Archive,Photographs
"Gilman Collection, Gift of The Howard Gilman Foundation",Photographs
Rogers Fund,Egyptian Art
Bequest of Catherine D. Wentworth,European Sculpture and Decorative Arts
"The C. C. Wang Family Collection, Gift of  C. C. Wang",Asian Art
Gift of Mrs. Robert Woods Bliss,European Sculpture and Decorative Arts
Rogers Fund,Drawings and Prints
Gift of Heber R. Bishop,Asian Art
Walker Evans Archive,Photographs
Gift of A. Mahboubian,Ancient Near Eastern Art
Harris Brisbane Dick Fund,Drawings and Prints
"Gift of Bernard Sanders and Gladys Shultz, transferred from the Library",Drawings and Prints
Rogers Fund,Greek and Roman Art
"The Samuel Eilenberg-Jonathan P. Rosen Collection of Indonesian Gold, Bequest of Samuel Eilenberg and Gift of Jonathan P. Rosen",Asian Art
"Theodore M. Davis Collection, Bequest of Theodore M. Davis",Egyptian Art
"The Cesnola Collection, Purchased by subscription",Greek and Roman Art
Gift of Bashford Dean,Arms and Armor
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum",Costume Institute
Gift of Mrs. Paul Moore,The American Wing
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Gift of William H. Huntington,Drawings and Prints
Bequest of Mrs. Charles Wrightsman,European Sculpture and Decorative Arts
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Rogers Fund,Egyptian Art
Gift of David A. Jacobs,Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Gift of Julia Chester Wells,European Sculpture and Decorative Arts
Bequest of Margarette A. Jones,European Sculpture and Decorative Arts
Rogers Fund,Islamic Art
Anonymous Gift,Drawings and Prints
Gift of Charles K. Lock,Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Gift of National Sculpture Society,The American Wing
Gift of A. S. Colgate,Drawings and Prints
Gift of Miss. Anita Reinhard,Drawings and Prints
Rogers Fund,Drawings and Prints
Gift of William Forsyth,Drawings and Prints
Rogers Fund,Drawings and Prints
"Gift of C. R. Lindley, M.D.",Photographs
Rogers Fund,Greek and Roman Art
Anonymous Gift,Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Gift of Mrs. J. Insley Blair,The American Wing
Gift of David Keppel,Drawings and Prints
