Id,start,end,type,departement
745519,1959,1959,Object,Drawings and Prints
546982,1916,1916,Object,Egyptian Art
197517,1934,1934,Object,European Sculpture and Decorative Arts
627952,1941,1941,Object,Drawings and Prints
46693,1893,1893,Object,Asian Art
225379,1936,1936,Object,European Sculpture and Decorative Arts
395985,1995,1995,Object,Drawings and Prints
398392,1917,1917,Object,Drawings and Prints
353805,1964,1964,Object,Drawings and Prints
686067,1970,1970,Object,Photographs
375111,1943,1943,Object,Drawings and Prints
357521,1954,1954,Object,Drawings and Prints
323340,1936,1936,Object,Ancient Near Eastern Art
713747,2011,2011,Object,Greek and Roman Art
68123,1909,1909,Object,Asian Art
4455,1930,1930,Object,The American Wing
105172,1977,1977,Object,Costume Institute
645071,1963,1963,Object,Drawings and Prints
48842,1950,1950,Object,Asian Art
190625,1908,1908,Object,European Sculpture and Decorative Arts
74247,2018,2018,Object,Asian Art
433090,1949,1949,Object,Drawings and Prints
227333,1948,1948,Object,European Sculpture and Decorative Arts
226453,1939,1939,Object,European Sculpture and Decorative Arts
216463,1909,1909,Object,European Sculpture and Decorative Arts
369004,1953,1953,Object,Drawings and Prints
721612,2011,2011,Object,Greek and Roman Art
701699,1962,1962,Object,Drawings and Prints
554711,1910,1910,Object,Egyptian Art
549204,1985,1985,Object,Egyptian Art
780384,1963,1963,Object,Drawings and Prints
813199,1959,1959,Object,Drawings and Prints
13758,1997,1997,Object,The American Wing
63717,1941,1941,Object,Asian Art
226154,1937,1937,Object,European Sculpture and Decorative Arts
379243,1923,1923,Object,Drawings and Prints
570776,1926,1926,Object,Egyptian Art
380895,1954,1954,Object,Drawings and Prints
83554,1954,1954,Object,Costume Institute
12325,1950,1950,Object,The American Wing
317202,1994,1994,Object,"Arts of Africa, Oceania, and the Americas"
622977,1918,1918,Object,Drawings and Prints
675705,2015,2015,Object,Costume Institute
548592,1930,1930,Object,Egyptian Art
250989,1920,1920,Object,Greek and Roman Art
250488,1917,1917,Object,Greek and Roman Art
710446,1917,1917,Object,Drawings and Prints
378708,1923,1923,Object,Drawings and Prints
349075,1962,1962,Object,Drawings and Prints
19340,1967,1967,Object,The American Wing
748318,2019,2019,Object,Asian Art
484944,1987,1987,Object,Modern and Contemporary Art
745285,2011,2011,Object,Greek and Roman Art
270119,1959,1959,Object,Photographs
363474,2003,2003,Object,Drawings and Prints
221883,1926,1926,Object,European Sculpture and Decorative Arts
353491,1961,1961,Object,Drawings and Prints
703105,1979,1979,Object,Drawings and Prints
373746,1941,1941,Object,Drawings and Prints
11862,1907,1907,Object,The American Wing
891338,1962,1962,Object,Drawings and Prints
425922,1946,1946,Object,Drawings and Prints
671295,2011,2011,Object,Greek and Roman Art
745773,1924,1924,Object,Drawings and Prints
709706,2011,2011,Object,Greek and Roman Art
849849,1963,1963,Object,Drawings and Prints
629205,1949,1949,Object,Drawings and Prints
245379,1881,1881,Object,Greek and Roman Art
377807,1921,1921,Object,Drawings and Prints
53885,2001,2001,Object,Asian Art
206160,1974,1974,Object,European Sculpture and Decorative Arts
