Source,Target
210177,1966
Gift of Mrs. Elias Kempner,152507
152507,1934
Rogers Fund,320238
320238,1912
Gift of H. Cecilia Bailey,83193
83193,1975
"Purchase, Funds From Various Donors",136580
136580,1985
"The Lesley and Emma Sheafer Collection, Bequest of Emma A. Sheafer",115726
115726,1973
Walker Evans Archive,168546
168546,1994
"Gilman Collection, Gift of The Howard Gilman Foundation",178379
178379,2005
Rogers Fund,355869
355869,1911
Bequest of Catherine D. Wentworth,110972
110972,1948
"The C. C. Wang Family Collection, Gift of  C. C. Wang",42055
42055,2001
Gift of Mrs. Robert Woods Bliss,133805
133805,1943
Rogers Fund,397315
397315,1952
Gift of Heber R. Bishop,35154
35154,1902
Walker Evans Archive,174790
174790,1994
Gift of A. Mahboubian,200223
200223,1965
Harris Brisbane Dick Fund,240384
240384,1917
"Gift of Bernard Sanders and Gladys Shultz, transferred from the Library",238393
Rogers Fund,147305
147305,1908
"The Samuel Eilenberg-Jonathan P. Rosen Collection of Indonesian Gold, Bequest of Samuel Eilenberg and Gift of Jonathan P. Rosen",43182
43182,1998
"Theodore M. Davis Collection, Bequest of Theodore M. Davis",362366
362366,1915
"The Cesnola Collection, Purchased by subscriptionâ?6",139810
Gift of Bashford Dean,17923
17923,1914
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",268033
268033,1951
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",480593
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum",97133
97133,2009
Gift of Mrs. Paul Moore,2863
2863,1970
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",439508
439508,2011
Gift of William H. Huntington,484152
484152,1983
Bequest of Mrs. Charles Wrightsman,469094
469094,2019
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",369726
369726,1948
Rogers Fund,368273
368273,1930
Gift of David A. Jacobs,203084
203084,1958
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",206009
206009,1951
Gift of Julia Chester Wells,126623
126623,1910
Bequest of Margarette A. Jones,118720
118720,1906
Rogers Fund,309798
309798,1939
Anonymous Gift,452987
452987,2011
Gift of Charles K. Lock,205223
205223,1960
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",219332
219332,1960
Gift of National Sculpture Society,12061
12061,1898
Gift of A. S. Colgate,279748
279748,1951
Gift of Miss. Anita Reinhard,213516
213516,1949
Rogers Fund,229560
229560,1920
Gift of William Forsyth,226855
226855,1941
Rogers Fund,245148
245148,2007
"Gift of C. R. Lindley, M.D.",174670
174670,2018
Rogers Fund,146750
146750,1906
Anonymous Gift,452826
452826,2011
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",467798
467798,1959
Gift of Mrs. J. Insley Blair,4128
4128,1947
Gift of David Keppel,252202
252202,1922
Gift of Felix M. Warburg,295191
295191,1920
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",426304
426304,2011
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",427441
427441,1951
Gift of Mrs. Frank Farley,70960
70960,1945
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",156655
156655,1972
Bequest of Mary Anna Palmer Draper,148246
148246,1915
Transfered from Archives,260164
260164,1954
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",227293
227293,1968
Harry G. Sperling Fund,236432
236432,2005
Harris Brisbane Dick Fund,412715
412715,1917
"Purchase, Mrs. Carl L. Selden Gift, in memory of Carl L. Selden",206509
206509,1983
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum; Gift of the estate of Elinor S. Gimbel",91689
91689,2009
Gift of Mrs. Nathan E. Newman,84451
84451,1983
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",275583
275583,1948
"Gift of Kihei Hattori, in memory of his father, Kihei Hattori",62206
62206,1920
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",428130
428130,2011
Bequest of Susan Dwight Bliss,9481
9481,1966
Gift of Dr. and Mrs. Lewis Balamuth,307068
307068,1971
"Ford Motor Company Collection, Gift of Ford Motor Company and John C. Waddell",161448
161448,1987
"Edward C. Moore Collection, Bequest of Edward C. Moore",51619
51619,1891
"The Cesnola Collection, Purchased by subscriptionâ?6",141856
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum; Gift of Mrs. James McF. Baker",92836
92836,2009
Bequest of Robert Graham Dun,297018
297018,1900
Gift of Mrs. Richard Riddell,480128
480128,1981
Harris Brisbane Dick Fund,378591
378591,1936
"Bashford Dean Memorial Collection, Funds from various donors",387586
387586,1929
Gift of Mrs. Albert Broccoli,205548
205548,1980
"Howard Hodgkin Collection, Purchase, Florence and Herbert Irving Acquisitions Benefit, and Dodge Funds; Howard S. and Nancy Marks Gift; Louis V. Bell, Harris Brisbane Dick, Fletcher, and Rogers Funds and Joseph Pulitzer Bequest; and funds from various donors",468843
468843,2020
Rogers Fund,363967
363967,1926
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum; Gift of Claire Lorraine Wilson",90004
90004,2009
Gift of Herman A. E. and Paul C. Jaehne,22963
22963,1943
Harris Brisbane Dick Fund,291383
291383,1926
Gift of Josef and Brigitte Hatzenbuehler,321166
321166,2007
Rogers Fund,397007
397007,1922
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",375769
Rogers Fund,279442
279442,1962
Gift of Mr. and Mrs. H. O. Havemeyer,57045
57045,1896
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",455088
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",444104
444104,1951
Gift of Philip van Ingen,258937
258937,1942
Gift of Kenneth Grebinar,237990
237990,2005
Walker Evans Archive,171485
171485,1994
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",236374
236374,1949
Robert Lehman Collection,312920
312920,1975
"Purchase, Jane P. Watkins Gift",183886
183886,2013
"Purchase, Edward S. Harkness Gift",345428
345428,1926
Gift of Thomas L. Kempner,87359
87359,2006
Harris Brisbane Dick Fund,234983
234983,1922
"Rogers Fund, transferred from the Library",274242
"Henry L. Phillips Collection, Bequest of Henry L. Phillips",38792
38792,1939
Rogers Fund,205205
205205,1961
Gift of Mr. and Mrs. William A. Moore,11834
11834,1923
"Purchase, Friends of European Sculpture and Decorative Arts Gifts",118270
118270,1996
Gift of J. Pierpont Morgan,314973
314973,1917
Harris Brisbane Dick Fund,108167
108167,1933
Gift of Mr. and Mrs. Nathan Abrams,160696
160696,1985
Rogers Fund,258822
258822,1962
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",451022
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",419015
419015,1946
Gift of Stephen Perlow,420748
420748,1981
"Edward C. Moore Collection, Bequest of Edward C. Moore",299666
299666,1891
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",416344
416344,2011
Harris Brisbane Dick Fund,412952
412952,1917
Gift of Mrs. Leonard E. Opdycke,122991
122991,1908
Bequest of Mary Stillman Harkness,37130
37130,1950
